note_id,product_model,serial_number,date,symptom_text,fix_text,tag,_true_theme_for_validation_only
RET-00001,Model-C300,SN-C30-00001,2026-07-20,Customer reports burning smell and excessive heat near vents.,Replaced thermal paste on main processor.,,Overheating
RET-00002,Model-C300,SN-C30-00002,2025-10-03,Customer Priya Nair reported: Thermal shutdown triggered repeatedly under light load.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00003,Model-A100,SN-A10-00003,2025-09-03,Customer reports battery does not hold charge overnight.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00004,Model-A100,SN-A10-00004,2025-08-09,"Flickering screen, gets worse when device is warm.",Replaced touch digitizer.,display_fault,Display Fault
RET-00005,Model-B200,SN-B20-00005,2026-07-26,Customer reports burning smell and excessive heat near vents.,Replaced faulty cooling fan.,,Overheating
RET-00006,Model-C300,SN-C30-00006,2025-10-31,Loud grinding noise coming from internal fan. Contact: +91 90000 11122.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00007,Model-B200,SN-B20-00007,2025-08-06,Battery drains fully within 2 hours of light use.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00008,Model-A100,SN-A10-00008,2026-06-11,Customer reports battery does not hold charge overnight.,Updated firmware to fix power management bug.,,Battery Drain
RET-00009,Model-A100,SN-A10-00009,2026-02-01,Outer casing has visible dents and scratches.,Replaced latch mechanism.,,Physical Damage
RET-00010,Model-C300,SN-C30-00010,2025-09-24,Unit overheats and shuts down after 20 minutes of operation.,Replaced thermal paste on main processor.,overheating,Overheating
RET-00011,Model-C300,SN-C30-00011,2025-08-16,Battery percentage drops from 100 to 0 in minutes.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00012,Model-B200,SN-B20-00012,2026-03-17,Device freezes randomly during normal operation.,Reflashed firmware to latest stable version.,,Software Crash
RET-00013,Model-C300,SN-C30-00013,2026-04-15,"Customer reports unit was dropped, casing damaged.",Replaced broken hinge assembly.,,Physical Damage
RET-00014,Model-A100,SN-A10-00014,2026-05-22,Bluetooth pairing fails every time.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00015,Model-C300,SN-C30-00015,2025-10-07,Customer reports random restarts several times a day.,Factory reset resolved the crashing issue.,,Software Crash
RET-00016,Model-C300,SN-C30-00016,2026-06-16,Loud grinding noise coming from internal fan.,Replaced noisy fan assembly.,unusual_noise,Unusual Noise
RET-00017,Model-C300,SN-C30-00017,2025-09-30,Device freezes randomly during normal operation.,Factory reset resolved the crashing issue.,,Software Crash
RET-00018,Model-C300,SN-C30-00018,2025-10-22,Unit repeatedly disconnects from WiFi network.,Reseated antenna connector.,,Connectivity Issue
RET-00019,Model-C300,SN-C30-00019,2025-09-07,Customer reports intermittent loss of network signal.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00020,Model-A100,SN-A10-00020,2025-11-18,Bluetooth pairing fails every time.,Reseated antenna connector.,,Connectivity Issue
RET-00021,Model-B200,SN-B20-00021,2026-05-15,Battery percentage drops from 100 to 0 in minutes.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00022,Model-C300,SN-C30-00022,2025-09-29,"No power, LED does not light up when plugged in. Contact: 9845012345.",Replaced fuse on main board.,no_power,No Power
RET-00023,Model-A100,SN-A10-00023,2026-06-19,Thermal shutdown triggered repeatedly under light load.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00024,Model-A100,SN-A10-00024,2025-08-29,"Flickering screen, gets worse when device is warm.",Reseated display ribbon cable.,,Display Fault
RET-00025,Model-B200,SN-B20-00025,2025-10-29,Device loses charge rapidly even in standby mode.,Replaced charging circuit board.,,Battery Drain
RET-00026,Model-C300,SN-C30-00026,2025-12-20,"Customer reports unit was dropped, casing damaged.",Replaced outer housing.,physical_damage,Physical Damage
RET-00027,Model-A100,SN-A10-00027,2025-10-04,Device loses charge rapidly even in standby mode. Reach out at rahul.sharma@example.com for follow-up.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00028,Model-A100,SN-A10-00028,2026-06-26,Outer casing has visible dents and scratches.,Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00029,Model-A100,SN-A10-00029,2026-03-30,High pitched whining noise during operation.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00030,Model-B200,SN-B20-00030,2025-12-28,"Customer reports unit was dropped, casing damaged.",Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00031,Model-C300,SN-C30-00031,2026-07-01,Thermal shutdown triggered repeatedly under light load.,Replaced faulty cooling fan.,overheating,Overheating
RET-00032,Model-A100,SN-A10-00032,2025-10-31,Customer reports battery does not hold charge overnight.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00033,Model-A100,SN-A10-00033,2025-12-18,"Fan not spinning, unit overheating quickly. Reach out at rahul.sharma@example.com for follow-up.",Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00034,Model-A100,SN-A10-00034,2026-01-05,"Flickering screen, gets worse when device is warm.",Replaced display driver IC on board.,display_fault,Display Fault
RET-00035,Model-A100,SN-A10-00035,2026-01-19,Screen shows vertical lines across display.,Replaced display driver IC on board.,,Display Fault
RET-00036,Model-B200,SN-B20-00036,2025-12-28,Device cannot detect any nearby WiFi networks.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00037,Model-A100,SN-A10-00037,2026-02-22,Unit does not power on at all.,Replaced power supply board.,,No Power
RET-00038,Model-C300,SN-C30-00038,2026-07-03,"Cracked display panel, screen partially visible.",Replaced display panel assembly.,display_fault,Display Fault
RET-00039,Model-A100,SN-A10-00039,2026-01-07,Battery drains fully within 2 hours of light use.,Replaced charging circuit board.,,Battery Drain
RET-00040,Model-C300,SN-C30-00040,2025-12-30,"Fan not spinning, unit overheating quickly.",Replaced faulty cooling fan.,overheating,Overheating
RET-00041,Model-C300,SN-C30-00041,2026-04-01,"Broken latch, cover does not close properly. Reach out at priya.n@mail.com for follow-up.",Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00042,Model-A100,SN-A10-00042,2025-12-10,"Customer Karthik Reddy reported: Dead on arrival, no boot, no lights.",Replaced power supply board.,no_power,No Power
RET-00043,Model-B200,SN-B20-00043,2026-07-15,Unit overheats and shuts down after 20 minutes of operation.,"Replaced temperature sensor, false trips resolved.",,Overheating
RET-00044,Model-C300,SN-C30-00044,2025-08-25,"Dead on arrival, no boot, no lights.","Found loose power connector, reseated and resolved.",no_power,No Power
RET-00045,Model-A100,SN-A10-00045,2026-06-03,Unit repeatedly disconnects from WiFi network.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00046,Model-C300,SN-C30-00046,2026-02-07,Device loses charge rapidly even in standby mode.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00047,Model-B200,SN-B20-00047,2026-07-06,Unit repeatedly disconnects from WiFi network.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00048,Model-A100,SN-A10-00048,2026-05-27,"Broken latch, cover does not close properly.",Replaced outer housing.,,Physical Damage
